mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPyYuu4_Iq-oWg2VbYdunEuOhuhOSXLiWuho2oD,C2j3K-l0YDJksLSFAZNT5ynjdwA,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,MVIMG_20220104_133301.jpg,,2022-01-04T08:03:02.011Z,2026-06-24T05:56:33.037Z,19800000,2160,3840,,,1018192,true,4735315,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM3tNpNqRhB2erBtg18odv-eF0WXlvTT4GrCao1PdiLcx_IEnd178utnA
AF1QipN7_cHdD3mpgC6plwPwI1vo0KGN0xnBScoghn49,fQLAfrRuXjZQmV87TSQS20bjnhk,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220301140511058_COVER.jpg,,2022-03-01T08:35:11.829Z,2026-06-24T05:56:33.037Z,19800000,1512,2688,,,4172190,true,4172190,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPPv3P3vhiLYZV4QCnHgV8vmVJV2ijJ-nx8n1WD4eT-caPKPi5kG5T7Hw
AF1QipP7Mgpba6dKWMuCeAWZrH5pLBXhyIiEzcJIobXb,76RWdvqEXtXNctNbX2rz8hTJ08w,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220301145354374_COVER.jpg,,2022-03-01T09:23:56.168Z,2026-06-24T05:56:33.037Z,19800000,1512,2688,,,3996811,true,3996811,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMB6auRLGdEZ7wbaj3SibrEbHMVcoJjBQ7NGPad-judpeOcYQygfh2ADw
AF1QipP6id5or6u57qsLIIqh0ekt4SoICOi2Zrf-nuaY,CWdZodvP2f_oUyEKwtrezQqICQc,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220301145525000_COVER.jpg,,2022-03-01T09:25:25.897Z,2026-06-24T05:56:33.037Z,19800000,1512,2688,,,4033620,true,4033620,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPpcerqFyUa45G4HzfhF804AbZpD7jksRE3Ik5dmg3ib2w-2UidbZVs6Q
AF1QipNzpaBwAnHWrkATEEkQqdbYUI7EgqF4laKAv87U,AcaLLLnfml_3mcAaL91EkxlPX2Q,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220301164702630_COVER.jpg,,2022-03-01T11:17:03.455Z,2026-06-24T05:56:33.037Z,19800000,2688,1512,,,3051200,true,3051200,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPzmeEEoC8DwFcTQpBCjX5JacQ7AF9eRg6L0Gvn5hyvglnVcqA1W1YBwA
AF1QipNqrDrnDd3e7CI2sEn0XzZUpEsRIYW7z-DAkH-2,8a6fTbxEEZvdWTtK956vz0A6Njo,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00000IMG_00000_BURST20220301164810336_COVER.jpg,,2022-03-01T11:18:11.358Z,2026-06-24T05:56:33.037Z,19800000,2160,3840,,,1568902,true,1568902,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPUu7aD8AwgphTRwu9gH0z4DJGctPOcTSAsfBU2qanggNmik8TIzaQxag
AF1QipPEjoSJ8izrLLRO1eEXr4ZijqDzJirDkD9N6CST,fZAwXoEXS43rqV04qFov5lCsezQ,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220301164842409_COVER.jpg,,2022-03-01T11:18:43.008Z,2026-06-24T05:56:33.037Z,19800000,1512,2688,,,3660229,true,3660229,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPAc2aSzGi2ZYgOnpAexYsdNA1fKvUbZyo55654kwTgtsK-gkZyy-M7Pw
AF1QipPMBf1aHmncy4nCe-7AL1QEvPNMd_k6RnZiCTjy,pcy0bM7_BImJReWYIhUqu6COmLc,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220304113805568_COVER.jpg,,2022-03-04T06:08:05.793Z,2026-06-24T05:56:33.037Z,19800000,2688,1512,,,2851443,true,2851443,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPuBxZFIHLCblxGErVgyJGZUtq7aoTILHIstHx-65V9IYXKrl8Rtw13tA
AF1QipOYU4TGjJgbohGn2XgkOhHS1AKeqAX9XXZS0qyn,Ge5PhVmic_7qlhIRv88ZBUWAWQI,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220304113810083_COVER.jpg,,2022-03-04T06:08:10.154Z,2026-06-24T05:56:33.037Z,19800000,2688,1512,,,2825441,true,2825441,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMHbcoJpvTcGFk7t2YpAchGFFvJGhXcc5bKIlnVrb6p3pN1h3FTLuO-GQ
AF1QipNg5D6Eb8Jj1D-lSiY2CrUC1rr1qtLhNWvrFuvg,FwQgQ7vhfu2k80Dj6wYHnUMf4eY,AF1QipNnPSsu4W2y7rZ2TcqHfPlXpqECvxbRq3G3mg7O,22V2,00100sPORTRAIT_00100_BURST20220304113820095_COVER.jpg,,2022-03-04T06:08:20.117Z,2026-06-24T05:56:33.037Z,19800000,2688,1512,,,2973624,true,2973624,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNptksJ4igNdyJ4nKQXTQxKOyTU--sqceaNrADUOKZaio1SNeVNrAdwiA
