mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPJQYh372Wsou-stxDWZJ6rNJJZvXGi6b1G176I,zbKvKhZPsEDqsJdNG2sc44q45-k,,,,,2021-09-14T05:49:39.473Z,2021-09-18T23:07:04.614Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMiuzLFs8LHAJzpXxw1zhvF2ZqnPJhTPwJ7mfFbMu0vxDk1jgMWyTVbpg
AF1QipM5YvyjB-fuCE1dCGOSXpFpgSukIhBHbd8tv52m,4KQrKRzwNk0eynNVE1QqyCF7nHE,,,,,2021-09-14T06:05:37.914Z,2021-09-18T23:07:06.120Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczP3RJ-qGvcstVGUtyNe7MFGUiIdR7qcM2skTtw0-urbuqtR-1BNqcZ_BA
AF1QipNpYlW8HAiMmy-g200GUHHe87E3C9YLLnNGQ6EY,QFfCEf0yaQbHYX3VwydvtCGAcjU,,,,,2021-09-14T06:05:50.956Z,2021-09-18T23:07:06.120Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczO3iSWZGMzkAOuvWH-zVcNVasTOhVqm-ggNtoeSU6HdgrXLBlZ88g7mZA
AF1QipMfjtT0gWble7jUalSeoBMypPbWqlDqCj3PUlO0,6Uq1S005RcNB0KCKUtE628FIzpo,,,,,2021-09-14T06:05:49.227Z,2021-09-18T23:07:06.120Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPZBYXbYhFy6UMgp0bagySmKp4D8OxObRHMYJJxy1Snx4t_HJsWpDqi8w
AF1QipOcgXzfIcAJzJzAbL2QG2aZLx8PjzzU3hhJTxUu,AluMku_GgUJTQ_8HkasM_tWnfmU,,,,,2021-09-14T06:05:52.609Z,2021-09-18T23:07:23.981Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMBLaHnHMssTzs_svged6nDepSoQQ-9xtdCl6kk2nTrRJYOB27WSOyz6g
AF1QipOzV4EDjO7vfRs_XAuo1iuR6YMWQcqMQCUkypNj,0aD6wAVsnwla0pByihvziD9dc-s,,,,,2021-09-14T06:05:55.954Z,2021-09-18T23:07:24.885Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOO_M6vYCeVY0QXeBJRxmRfDCGR2z9r5tfo6F4dOLH8jCCDKDNG-bKEzA
AF1QipNxfLNCbTxm86rMooFY_CFI8wsyCvcp8o3A4aRX,8D5psnVmHpwi0I6Ze9LeJotihDY,,,,,2021-09-14T06:05:52.170Z,2021-09-18T23:07:24.885Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMOtBwQxYU890i_5570a6rq8NJLbiUnp8F_xTtpF0nqhE7G5As6UFyTnw
AF1QipNzTxmpp5ug95iHt8JESnODtq98HYwfHQGsbz2j,ibnH-ox34NgN0z15x0OclxzrdNs,,,,,2021-09-14T06:05:57.839Z,2021-09-18T23:07:24.885Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPF5Y7SOJ0hBt-szS23HfW4FjYt3TeHQ1FLTqDWlwgLMo8LWiZBBwYAXQ
AF1QipMkYyI4dvHANHNbcw6MOR14mVo-G8IM6ZsczmZQ,zpxXh_RoLdeH2JZnhU6pEwuH80s,,,,,2021-09-14T06:06:05.385Z,2021-09-18T23:07:36.700Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMGJFLQ9Fd0SQSmGOToEgMBaiglQEKpE5uaTy3fZd9Udr2wTuRVMNBFYw
AF1QipOMhVWs2zDPosyeplOnPxxSFEkmT1TlUIDwEp_8,wDzUKtUXetbHC_pL3sJVZDki85w,,,,,2021-09-14T06:07:40.888Z,2021-09-18T23:07:37.641Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMuMSDVHmIF6ZzgY1d3rD-2fnPCoNJZLLV6NrLtHeTofUwvfalPiPiOIw
AF1QipPD7XOrN6E7xcm1z07Sgt6n0bhzuhhb_VbujHhX,XLPM4wYDu_4lvHMIcOEI2SaLgkg,,,,,2021-09-14T06:08:06.722Z,2021-09-18T23:07:37.641Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMAPcBhICyL5hRXI5VlNvdCpDhaPKfmL5vtanLK6tln3ZDD_iKAh8LkZw
AF1QipOeeyP6c5qT6zzWYlVmQ3XsLSMTuVE5W9981jSq,dRp3a9ofhX9UqcABdef3mj4DlG8,,,,,2021-09-14T06:08:12.925Z,2021-09-18T23:07:37.641Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPV27GSk-8yxotYHEEP040Il1K4q3zL0cRWqfCJgkTbBwAXVHpU-ssnww
AF1QipM0JV9pkP4X1nNo3GD0cwxsii8e-GTkIvErEOFb,iWgf0u-QZlT1yW1tW1cHph7k56Q,,,,,2021-09-14T07:01:52.438Z,2021-09-18T23:07:45.815Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOB0fwXi5byIyPiDSf9fbw98hwmTD5l3CD1YU8y1rOVF70gnqjO3wb--A
AF1QipORp1sat2_vxZO-3sIfwI5PlOM5MCj8n-2mlfHl,G6qQVsTX3grbrhnCoGXmUIEyp-A,,,,,2021-09-14T07:04:31.280Z,2021-09-18T23:07:47.034Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPIWkxwAE1NP8Yx3pbW3dBvbrI7IV7qcJ0t0iVn50mRYXMZMROxA3buug
AF1QipP8fEf_tcy2-4H_JplREUDI6lHaCp807zlWcnvN,lOnCmaAVtpwRTYTnDECx18v-RWo,,,,,2021-09-14T06:08:20.616Z,2021-09-18T23:07:48.159Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOUHIgFKisP62E14r0aT4lltYq0oPYebAmz8LLd1pXfGUdagXweDZ3Z5Q
AF1QipPiom8yWD2RAZmblJ4GQ1Fwpb66vf5AKzYjdDl0,QRyj8qC2QfItAXGkubrHhqbKIaQ,,,,,2021-09-14T07:03:44.825Z,2021-09-18T23:07:48.159Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOmwFDc8zKuU6kOtmioDx7uw9EFd2uqy86dmohpCuz249Xf5Rbfq9WojQ
AF1QipPWuN7d3KUUXCk1G4WnIJ8sKl16iWdvbLnEunkO,TZV1XX1tjKntaAUarevAnIlFMTg,,,,,2021-09-14T07:04:35.238Z,2021-09-18T23:07:50.383Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczORimNLfHotmC-V-DXyhaQnoC7V4kCfihUf9eh1ce-tT-f5oOugt4JE9A
AF1QipPieU5US2kMNNIc4gVIcPimZEuEaLyavUcHUGef,bYJu9K2-I5PSjbUbAs7F40ZIXec,,,,,2021-09-14T07:04:41.823Z,2021-09-18T23:07:54.780Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPolo7VyJ9FH76iV-OyTA2EW8Gyvu6-bZX9j78lhQjLZB80-QGcnigTKA
AF1QipMNKj2WfQm79TRicWUAHP_e4T2g5oHWkysxoRHf,TJngD0ShZg7IUN12KjFLd0VY3ks,,,,,2021-09-14T07:05:42.693Z,2021-09-18T23:07:55.983Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMIyxmjbJaiNpz_As7iojsxEco7JR3eeYbmmt0Y9WMNroEfpGioEY_pjg
AF1QipM5VzcDx7uaSjO0Y8LCStnBZ4bgJIbvbnkxLCFi,X_oF0Vl6MX9YJDESAjaMQf6hVAs,,,,,2021-09-14T07:06:04.671Z,2021-09-18T23:07:57.038Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczP5KBSPUHsaf8bG5wQHfBsY0WRmElaPBQOeY0yh4tJL1gDrH-QgkSWhPA
AF1QipPjblozIZF6s1twN0Dfmv81Rlg22Dk1koi_SCkL,v7vwuOhY3Im0JdY__ynzZgY64Kg,,,,,2021-09-14T07:06:02.073Z,2021-09-18T23:07:57.038Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM5vcYgCsv3pkc6Dx4sMl8dfZLLhXiss5egXQM_9nkGFxBMddLfNV02JA
AF1QipM6_GPXIg2_uU6jVY0rAC1VLPU3dtj0NGkGbfMc,BmY7zyWiSlgn_AatEu4g5WM4_bc,,,,,2021-09-14T07:06:25.248Z,2021-09-18T23:08:01.435Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPVNxn1a6UAqLPRsVW8_Xs0SkjFHb_o3wF10O9l0MIXyw6259EU5V3q_A
AF1QipPxU6dq0guYxqBLiE7NflDsZYTdioWZJULRmBVC,cNmXHwfz6GeXBFiCga5Y2K4dJxk,,,,,2021-09-14T07:08:36.564Z,2021-09-18T23:08:03.160Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN5mNCAm6pemMleJqWHZSGUbKWPowGhlnmgjV3Z9GnR_E8UgvFQKNOHpA
AF1QipP12O8VVu8yXY1hiKgInIQSFeFeU7ansk7NwbcL,ZpNHcTwWTSRPiBz9iPNi4ffy-YI,,,,,2021-09-14T07:06:41.546Z,2021-09-18T23:08:04.164Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPYSk-QBp4Olb5RdIxE6ELS0WICQrKZVRcY-1Nx6QsGg4WzVZPi0IUtUA
AF1QipNf2ZO6Q--5i8wRhMCjnSjGMgbWrQ00okGT2j4B,Fu14IQuAQWOMWIjNvghBla8WKh8,,,,,2021-09-14T07:08:41.005Z,2021-09-18T23:08:05.283Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPHtxWL-o046Af8YOChHx_CVEJn0Gw1Tcdb2EzkLleHzE_ytDTRcVx_8Q
