mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPhHYT5tQ76orzo7Mk5LytGlq8NoK2p79kPGLJ8,QXtVs1PuhbeFq1Fbkf7jC2QuZvg:191e69e7261,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190427_152901.jpg,,2019-05-20T18:37:13.000Z,2026-06-23T19:00:13.020Z,19800000,5184,2592,,,6561795,true,6561795,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNoVh8alDT4cpKqil8ahj1azX2IEZdWBWsGWEyX5aaGl0brSWlYkEZ5kg
AF1QipOHbvfGviEbPXEiYrOv_iVW_ouaVClQPlrBsewf,yJp6x1m_h1dIJsrdsuC7hIqNlNU:191e69e422c,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190427_152845.jpg,,2019-05-20T18:37:45.000Z,2026-06-23T19:00:13.020Z,19800000,5184,2592,,,6316725,true,6316725,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOpo49nDz9RLjHJttVqkOz0PkHfwxuPXli371tCRrO8ZkT8wHaJRBroxA
AF1QipN-HJuRqG4icqAguV2AVraBkZlAevGwvwLCNiKk,qLLUhpEiQmas9klPh5wCazwyIvA,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,2019-04-22-11-02-00-494.jpg,,2019-05-20T18:37:58.000Z,2026-06-23T19:00:13.020Z,19800000,3200,2400,,,3873875,true,3873875,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNnzhhp0GeH9VTq9VbWK0-xDcuMZG3noG6anKMcb6jIEz-nh5nqMITaKw
AF1QipNnUHAM9TZmog0CCl6CLBZaZbQmioL1MO7CQMof,bnXrJYwc-q1s2NTQIk5HxAfzmMU,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,2019-04-22-11-01-53-952.jpg,,2019-05-20T18:38:09.000Z,2026-06-23T19:00:13.020Z,19800000,3200,2400,,,3588888,true,3588888,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNA7wl3zO8u0Obb_6Qp9NQGzXVeiqOycQ4YP_Cu9eVUpy-GtroqawEB7A
AF1QipP1z4rBFSUh_E9zf_YvqjnMJ3PllSV5V60kS1xU,NYIWMuuTsmBnv_yDmYev07RCJs4,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,2019-04-22-11-02-14-093.jpg,,2019-05-20T18:38:20.000Z,2026-06-23T19:00:13.020Z,19800000,2400,3200,,,3333912,true,3333912,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN1VlhPkJkhlej270RbQtVaNZ1KFWoBuHHvhLIm8gS5Psjd3Lxj2oYeSg
AF1QipMLfNxuS41gNpOSx7jAxYf4ea-zws52D6F6G6ah,rKyULVV2SUZigFi7thARcaXJV8g,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190206_123828_3.jpg,,2019-05-20T18:39:25.000Z,2026-06-23T19:00:13.020Z,19800000,3456,4608,,,4124215,true,4124215,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOpYH4uQvySUOZXQ5uhXF9asR3HoORC6yVzDRdgHClyJ4pDHrU_PDsERA
AF1QipOElPdJv76-NfD4Siw1hmasNu4GL23KZQXHE5XB,lUfNuRTYA6ZIHm4xIjHP9NZCtEs,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190206_123819_2.jpg,,2019-05-20T18:39:35.000Z,2026-06-23T19:00:13.020Z,19800000,3456,4608,,,4017818,true,4017818,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOZ95ZnKggNwf0eslinrFE0J6b7EU5JbIUd3X77Gb_NLM8m0FZwdbHjMw
AF1QipO_8z8WimzgLDRollqpzhrfRXkDn4n57N-pncsG,h0KsEy0dpv7YeveduU2Jntgf3zg,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190206_123817_6.jpg,,2019-05-20T18:39:50.000Z,2026-06-23T19:00:13.020Z,19800000,3456,4608,,,4044875,true,4044875,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczODV-wxbCkGQSwQs4-HE5SkAHjzDwkHjrXCL2oyYlcblbeDid3DykKd3Q
AF1QipO1MTwj6FZ6uTN5MhwDrzuWNQiIdvzhXXIxMvOj,QlV0FBFx8iwcJ5LuQ-UBXyMm500,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG_20190206_123815_8.jpg,,2019-05-20T18:40:00.000Z,2026-06-23T19:00:13.020Z,19800000,3456,4608,,,4049946,true,4049946,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNufY8Bvvp0N1muXI-vU-wchGTHvhlJnFOW0XcHBddgEIa0c2IPLGgKFQ
AF1QipPz0j0O_eDS5Yy9mJB8uJ8qqMZmGE--dT7PPZB3,KE7_dEgt9uXd8SUx9tqL55YhSLk,AF1QipP25xqMspFGvdKTmuoCftCB04OjV_Bs8yuahc9Z,T2,IMG20190206124433.jpg,,2019-05-20T18:50:24.000Z,2026-06-23T19:00:13.020Z,19800000,3264,2448,,,3027225,true,3027225,true,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOJQ9lsOq3aDkv-AEbUJjrSQkjAahDt0fN4uMEWUqq_0LCaxxANqLYYGg
