mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipOHug5Sp5l14C98dgDgHZczuWMBD7U3To5bUzEk,4dVOhjakckzn4v8bYHPHuNWve5A,,,,,2021-09-14T06:08:30.445Z,2021-09-18T23:14:20.518Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczP57wAUvanRTsIxOIshVGMj7MPnN7OiXvhZwLJKakWdEo28N7kRVR8huQ
AF1QipP5LFDUgOy3Y39tRXwrmRCjw6hiHQngvfKYQqcN,QbYScOs3AMcjuFCmgN8y2IVZu5w,,,,,2021-09-14T06:08:40.924Z,2021-09-18T23:14:26.822Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMw7cJo-npmpRByn4wOhTZF-MOEh995TMX1_BAmOeGcVx3vjkS831bhAA
AF1QipNHpfyDvuafrViWLFHDrJgWbRGc-MAQ2VpMEOP1,OEHTVm5Q7B4QJzBudDkq_H_n9iE,,,,,2021-09-14T06:08:54.063Z,2021-09-18T23:14:29.305Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPl5CXxxZOOCok0ETTZpnHeJ69RmmvH13INzN-pLNQiSYJxJ8qTjHMNNw
AF1QipPZBHR3axiBPXP6BgUk_C4ZSnHKUcr0X3ePWrp1,hf_LV4vcdtz9E1hRJmB40n7r2Vk,,,,,2021-09-14T06:11:25.303Z,2021-09-18T23:14:43.181Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMuAonZcJkzX1nVJasMHP0fgMn2gaF1qvDnn9OCO_CQWX29_X58bn33AQ
AF1QipMGsAnXxjMGuKII2B3y16HoYKZi1bkWiY2p2ouX,kTRXb7ieJU2HjSIRGlXlpoPDk8I,,,,,2021-09-14T06:11:32.474Z,2021-09-18T23:14:44.636Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczO4C00dJtzj1Kn33Iq9thMBsLEvJrNqKgwjqDtjxZgxPuTpQV1XG8gq0g
AF1QipPuY11KeHo0nb2tjlnm7uu4b0I3p9m6LNgYETy0,uCnSJeo9o_W32j8WiDeDoVneDGk,,,,,2021-09-14T06:11:45.042Z,2021-09-18T23:14:52.988Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPzc2epCjQ3aqFw9BJ3KF9cWrexQmwMfoMoOqKZ95CRPCCMq5Ic9muVJg
AF1QipPU0Q2P4bVdWrM6J1q4z5rMsTIOZxzLtrJfmGoy,OU54-qEpvVpjKnDJ3Qx63o_UmZI,,,,,2021-09-14T06:11:50.790Z,2021-09-18T23:14:56.209Z,19800000,2160,3840,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPSxnkEdHBBiu1TZv8tu2JnvnCxibr1t0FnB4jHESctipXVloKPHcTS_Q
AF1QipPCLC6dFylR0ceZfpwxKNP7zy0NGPEFFHHkfewl,4Xp4ULq07y5tC5CROjsdCkATr1Q,,,,,2021-09-14T07:01:55.214Z,2021-09-18T23:16:34.579Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPjQEBP7oVpbR6sh1Kafw41MfT63RBqwecbROV4Qcq5QD52rwTYFSG18g
AF1QipOvvoNsAoi64d-IBgmkHs6gYwO2VVYXLP8sTV1F,eqL0DwTQ_alDebG0UUYFmwfl2Bk,,,,,2021-09-14T07:02:00.067Z,2021-09-18T23:16:46.972Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczORcCLpwafTg9A8UE68G4iKQUcyeK85Hs7WqcAPaNd_j2kduO3dMbmTOg
AF1QipNRp8QRJTJixqVMKmCyht6c_pvM9pAcscXKERor,2WLOPjS6D4awDktoWO_VjN0RfX8,,,,,2021-09-14T07:02:14.499Z,2021-09-18T23:16:48.339Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPkdjUNYNyTfZH8P3hpnh0_JykqBNaMvut8KAo_OXWJz1Xgd1yJ8gih2A
