mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipOW4PNXEz7TaNOYiT46x_bDRpP9Aj4QUTN_YNt1,SgJ2B9VUJx4v3y83v4zcddrV42Y:191d7a68807,,,,,2021-07-28T06:54:29.891Z,2021-07-28T06:55:58.497Z,19800000,2688,1512,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM1dsXE9o2Si2DYG4HLC8Rz_AOPHKXCCoo1I6UuW2G3-7UNUekAHIg30Q
AF1QipNPZRPO-Zn4JNFrnS57ZIwYhsdesNwTDs7HOQuU,roxCAXpR6pkl9Zf8ry39yNNser0:191d7a68807,,,,,2023-02-05T23:06:09.644Z,2023-08-26T10:30:08.167Z,19800000,4000,1824,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMfBEuP9GQAm6f_f0mwDSIueIrqfHzy5Eoos5sIDe2OZRknfinqcwrrKg
AF1QipM8MSGz6792Ytz80qTidAp1V1B67ILvQ5GjT5SF,ssCA_cgD_uBgq4C4AHHeW5WV_sI,,,,,2021-07-10T06:55:14.928Z,2021-07-13T03:19:38.074Z,19800000,4032,3024,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPMHgwDODS2YvuyTiuEGv6wj6YO2gNOXci_ghs78jQvB86QmM4UDl9pwA
AF1QipPqJMnp_jiQ80cZ2Ja30viFvz4bE9Uk9KRiSwLJ,hjQD1CJMUBa1TgLWDJit3vEYbOI,,,,,2021-07-10T06:55:34.017Z,2021-07-13T03:19:42.164Z,19800000,2592,1940,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN_n0boEZT4O7zqBgFoXSZhEttvjKYY2zkBh7J11UCHl2UX-jz20nYQCw
AF1QipOWhEIkP5MGnBQQ9Ewx46N--3NUOx-gAQXQxjK0,E9mhEwRXeNrFdtv12KOY_Gf4zTw,,,,,2021-07-10T06:57:21.957Z,2021-07-13T03:19:46.552Z,19800000,3460,4623,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOPgwkZ3kgRe_VQZkpqmfdvb7iGEXHUJY2GXSUhmkowK91iCPh5hkr8uQ
AF1QipOcesBEpzJhPanKcNzZJLOU0k51vGEqnBM_HrDj,rxgcHpTu88aTmQj4Db81y5_7Y10,,,,,2021-07-10T06:57:27.312Z,2021-07-13T03:19:51.861Z,19800000,3460,4623,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMPECNYpv1ZMThuBmzrZmX1JoXYqYPVx71-PIvoUGMFZmqkDFmkNlvQEw
AF1QipOMFbYW3ETgdCc2_57dvlvPbejVhDutdcvOqKDv,G5zq7ixJ1nKkXXZMXhaAYZjLWjQ,,,,,2021-07-10T07:01:03.887Z,2021-07-13T03:19:56.941Z,19800000,3460,4623,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOnj4UXq6m1yObDN1om7K0PJhdvRzeJhPCp5DqIX21Z7dfwJ76A8i2alw
AF1QipNaTt2ErqUNpyb0W01njz2x2MGn4lqLpNjoP8y1,lFRGjnBfymgX0vAQ_AOtJYuK2PU,,,,,2021-07-10T07:01:05.187Z,2021-07-13T03:20:02.098Z,19800000,3460,4623,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNIAj3-fxJK_unR2LmgyLW4oCSJerPKStxSDBOsmyUjYKMaTzHy5mNS2Q
AF1QipNglYl0nCPUy8tcVxgtYGk5A3Lq-cKyoN2vY1OZ,aa5oikcE9USWKFGDOOoAzAQt8EY,,,,,2021-07-10T07:01:07.460Z,2021-07-13T03:20:06.970Z,19800000,3460,4623,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPcLie1KjIvxHJ8zEmTQzha7YsKR5KjavVvIPl_zoiSXnKYH4dZlI01Jw
AF1QipNZz2FvJCTzQXNdEnAM4yvR8bTOw6OWgAka0zXQ,nat-tMVN2RlN8QVclnMQ5mnUDZ8,,,,,2021-07-13T17:21:53.073Z,2021-07-13T17:25:47.238Z,19800000,3264,2448,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM4ebOL6Mw4FV-mvRHT1eU37aWRhOEeIfApZPeADZKP-wcfOls8n2Nj4A
AF1QipMEEy57oGf3Phsdxyyhouaf5IOG7EvrI2WTz9Ec,9IqJakf-vxuK7zXSIpi1U2ZzKAo,,,,,2021-07-14T13:34:23.881Z,2021-07-14T14:10:54.642Z,19800000,2688,1512,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNvAnoDI4V4xpeABTHSEff0iC99H6slSxCRGlUgmTqljyL5AxtqpFOCqA
AF1QipOz1rEPRxdv0S1wtgvwGjlOWmnmZYoOBiQZO6CS,2As66t5fnlbOuE4j0rOnAkwyyNs,,,,,2021-07-15T05:17:50.406Z,2021-07-15T06:27:52.952Z,19800000,1512,2688,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMAAV3_FF4Ui-6V7_744U6QVbYbPFpHtdO_mhSVbmC_Wch6oegk-VYZ3w
AF1QipPbVTI-HzyY8ydy-hZWm5_u3DkdEovXCIgLVIAw,_PusSp2PFHpvDvUozAFgHE6i6-g,,,,,2021-07-15T12:24:36.789Z,2021-07-16T03:35:49.335Z,19800000,2688,1512,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMCQUM0K3DzJl2lcbQPKQvEZ2XvsDIzt3xTRuzvuDeLK9nhjmgyRJHnqw
AF1QipORbYWBcczgtVrrkMkxPOzfKU9dSvxoejQlwk80,YDSWoAucuwqP2QJWF5_KlUaFpEk,,,,,2021-07-15T12:24:46.543Z,2021-07-16T03:35:56.531Z,19800000,1512,2688,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN5IjNOnzuWwBgrd0uz02YRPergK6Xpi9kcMYYZLwuLTjr29ETey_hsjQ
AF1QipMc_n2qXAgvNvMdTVYLkvPqe4f30MSeFjA9hZ_W,UD0lnXoJhKW3Xn_P1Tz8vYXJ27k,,,,,2021-07-28T06:54:29.891Z,2021-07-28T06:55:52.865Z,19800000,2688,1512,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNKJwNJpvcrUadYGm6mjbOavGGGENg6tCZE8U5U5TG61d8tQwFauE79UA
AF1QipNnGM2Njo8y0boZoxAhVsEYMsD-5osCdwBW0CNH,gx3n8sa48Dk87lLaYyA2P5rnctw,,,,,2021-07-28T08:13:56.688Z,2021-07-28T08:18:22.820Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN8P_eOQt1a4fZ30TXGinXiiuomKAWIcav5Ws7l3nd_VOYtaEdTbWYs1g
AF1QipM2zKCumrwySluKbCy54uPqWUzYIN09ih-R65tD,ezdPyLGVpuFP792u0qpxJj8f3Y4,,,,,2021-07-29T01:48:45.705Z,2021-07-29T01:50:07.061Z,19800000,3840,2160,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMGtpRQUxwPRtNs36oCJnQD07B_AUEs1rmP0eYNFV0utO0YvEHLMRxqeg
AF1QipOGVpwe9J181XiUKhxcjR0tSnyZC_s5R5MnTHCF,OPFsGQzBQbPwlXp-oco2lxpJ5Bs,,,,,2021-08-17T14:30:32.311Z,2021-08-18T01:20:44.307Z,19800000,1512,2688,,,,,,,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNb_lcJTB7gMZJ7V6DMMHsGq5zccgKyOmgGIhfGvBm4_gXfYhFoiicscQ
