mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPjyyPj-xBr89Aw8KFYv3tx3CEkE9yRmGCVHMR6,Hj7yf1N6s21qIe23f-Q_7SyhCws,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20210924_155757.jpg,,2021-09-24T10:27:58.236Z,2024-09-09T11:42:28.041Z,19800000,3840,2160,,,1373533,true,5235141,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM6-7kVELhtGD_0w8Jesd0LpEVpCHSWUx3mVgNAuXvEh4duh9q6q5nNZA
AF1QipOT-ypT2TZuPhHjbvsmhDlkXBtDgRmeyshFOe8b,9MXJmwqy-ZwEHzJNPerALop-aY8,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20210914_114052.jpg,,2021-09-14T06:10:52.269Z,2024-09-09T11:42:28.041Z,19800000,3840,2160,,,2085486,true,5201347,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOoFgsJjUfVHzUhBktIKBkGa16Jbx8RGJnd03XT_yeC7nYuscFxWtcfrQ
AF1QipPayMZcA-vrrF8_piK1-RAfUZx6dZYh1WsE7XGE,n5IWoy44OT0--dUKAGpYXoPw704,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20211125_200040.jpg,,2021-11-25T14:30:40.795Z,2024-09-09T11:42:28.050Z,19800000,2160,3840,,,1927183,true,5149314,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN5UX-53uN9dwgGTYkfXcB-CK3ipurz2-_b2mLYLqzWUWAmuvN0ajIKZQ
AF1QipO6ijFWh6YRS7OVRtRlQymUWeGV3vsqlrcFYveS,o90FWHGUZpAPhDpkW8vSQ1ka_UE,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20210831_100014.jpg,,2021-08-31T04:30:14.592Z,2024-09-09T11:42:28.041Z,19800000,2160,3840,,,1314990,true,5081197,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczN3Xo1gAtM5o0YmJc7oT_zoI9zQa3WqEuh9iahtCRZQQQz7hljaEE1nUg
AF1QipMjkGI6go4MqZpHGOGhbXkbwC4fY547l4yBOZtE,q7uZC4ClAG4w4vevw9nlvx5BEx8,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20211122_203200.jpg,,2021-11-22T15:02:00.409Z,2024-09-09T11:42:28.050Z,19800000,2160,3840,,,1508087,true,4992184,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOpTVNzZtnIi5nepiQb5UWVNGsPStBHjgfqWSGobzs82zm_pWqp94XYWw
AF1QipPQkhXuiKpfne0EUEXKc9q6YtnY3vjab6C63Dsm,MmbxP1cucVBoXReVV801XUpXZVc,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,00100sPORTRAIT_00100_BURST20210810102844107_COVER.jpg,,2021-08-10T04:58:44.682Z,2024-09-09T11:42:32.837Z,19800000,1512,2688,,,4942271,true,4942271,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOu0NMNHjGt43omc8H_XiJ328l59Vgk3hTddYaOe9xeete-cQpxxOIj5w
AF1QipOwrM4nVlKsOOaZG_yLS2MFq2RljgiaqoFueESR,uyD2UkOHYYjvXeOOwIKvD7UgNds,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,VID_20210625_230309.mp4,,2021-06-25T17:33:09.000Z,2024-09-09T11:42:32.837Z,19800000,1080,1920,17635,,4940752,true,4940752,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPO22JNOuaY_z0UFo_TsMEVM8tFiWihT17_YPmRt520gbrbHHJ_wFeTPQ
AF1QipOaPQBYpUIlBbfpSC1qDE4636smGnNwi6_RIvSH,E4-SzO9KCZPBYDilOVypzzhzWmQ,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,VID_20210713_225705.mp4,,2021-07-13T17:27:05.000Z,2024-09-09T11:42:32.837Z,19800000,1080,1920,6614,,4938243,true,4938243,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOpQ1-7kxy5owJqtGGUq_Bcz41n7uDWHlfBDgE_ABbB-4zKXdCF5DLh1A
AF1QipMLoWU5ztVKB4FLbO_5fb-C9gZlk1TUITXJ0-KY,kllqu4dHmlnkiHcEazHTQpa3ggg,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,00100sPORTRAIT_00100_BURST20210825155505164_COVER.jpg,,2021-08-25T10:25:05.825Z,2024-09-09T11:42:32.837Z,19800000,1512,2688,,,4885981,true,4885981,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOqsV8krBQQbCSRznE4d8UVmKtgtO7V4QEV_gZP6zp1aYeXr6WzFF8gcA
AF1QipNHJh3nN2yeKwCw6LDW18yvco65w8dN8RmwQclh,EosnH7sRUlKDtEJa6e0KUFfh4uo,AF1QipMLO_7-wY0CHDqwmPod_CROYvlw_T6d7Yxw3ATu,storage saver,MVIMG_20211229_151541.jpg,,2021-12-29T09:45:41.949Z,2024-09-09T11:42:28.050Z,19800000,3840,2160,,,1941218,true,4865449,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOc3l_q0dZQDkNs3g86ohcGOEDvQjEOaPZRi8nF8_FwBiYgaco2scUe6w
