mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPgOegCpXeaInQ2cfI1agFlgQaR2itxoWue1hPY,oI1pYkKJfQ-lGwvx_DgJ2YV6CpQ,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID-20210326-WA0002.mp4,,2021-03-25T09:16:50.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,5131,,3812081,true,3812081,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPNBBxvVIOnp79a3ztaffxIoEG4C0-kUo4MTZw6X2UD31Px2hKgstPd4g
AF1QipPnao7ZWtzrTaYDexFAaxwLrjqDeks2-U-2znMo,1ZPwlmaaepkwFSGSSv1z88rhmJk,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID-20210326-WA0000.mp4,,2021-03-25T18:37:26.000Z,2026-06-20T08:00:03.174Z,19800000,720,1280,15033,,3228724,true,3228724,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPn2Bdo_b4ASJ4E27hHDnb0X9NeLFNvz0GuQTLwW7d7mH_6yDn5vPpTNw
AF1QipPaQzl6F_3eu0TEX_Sn933gTY9UTIM34X5ntfMf,ZHdURkcFoM_NsGbuI-gex6sM4pE,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID-20210326-WA0001.mp4,,2021-03-25T18:37:34.000Z,2026-06-20T08:00:03.174Z,19800000,640,352,18426,,2413231,true,2413231,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPRg_meCsKjEplWeIqBKjpO2iMBdeAjlQSSiy0GQgLFMuPe6V3eE3W0GA
AF1QipNn5sOosGDN5pm1nQcWPWdWMdKWwUS7JmP0Iw4H,SzReb1QiwqZg71orYfAT9ZZBEPs,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID-20210326-WA0004.mp4,,2021-03-25T18:38:10.000Z,2026-06-20T08:00:03.174Z,19800000,720,1280,5333,,1112258,true,1112258,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczO_wxBOi0fQTSdA6gUdbkQOBsXizX2PdtWYh2s4hyrrYGAK45hJG6byZg
AF1QipPFWlCOvFWepYc8hkBKoBYcqzRTvWHQzyBv4kDY,GSSYB8JpRUuATrg7S6bFh2NBLYg,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID-20210326-WA0005.mp4,,2021-03-25T18:38:32.000Z,2026-06-20T08:00:03.174Z,19800000,720,1280,15000,,3206425,true,3206425,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOKEefGuRxh2x6vK1GwYuHgVAvqN2YxTgGf3MhQs-LYhLfygYR-Vsdfgg
AF1QipOcySB-zlIp4dfklR5wi_UvOrtYx-ubI4t27oAN,RVRNL5Xc8q4JYf4I0nPwkDx2Bqk,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210613_213803.mp4,,2021-06-13T16:08:03.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,4999,,2418474,true,2418474,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNirlRkyOeJxCUFVDN5QpBHycruDAGsZpipSemy7KHbV7i15gY-PiplHg
AF1QipNzpdQAI03-tyAOPeU9VFigKz1etPpSZLZR665k,w2m7AS9H7Dh42P8Fr3sqVJCczq4,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210625_102846.mp4,,2021-06-25T04:58:46.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,7965,,3503811,true,3503811,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOWD-BA9PDoF7yfcjioMlFhQjVZbiB_-kYtcA0LhpueC6d5YlvE6rfFgg
AF1QipNDRn_6BmmBCrtOJdLPLo_p5fVwYxVutQRWoZ0L,uyD2UkOHYYjvXeOOwIKvD7UgNds,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210625_230309.mp4,,2021-06-25T17:33:09.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,17635,,4940752,true,4940752,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNyVb7aManrLNwoWU6AiklaTLk5vpy-9gJ38Rc0Jj-st2Wpu8BV1gECuA
AF1QipPIKMBh5Fd_-QIymVa1e9q1iax7FR5h3O2VQFqg,nW96x8SGePbh6uM1jumFIsi3ZNA,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210626_090245.mp4,,2021-06-26T03:32:45.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,633,,222433,true,222433,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM7TtPJ6riw7WHxHrgdFyoB64qamC1aa1TYWNQCUTdw-G1T3E3M3BVf3w
AF1QipM09N7UTyBAg-l9UCcqq1j_pCvGQq1RTRJnuZ3Z,jyzm-j-_OuzDyHRsIIS0J1l0yZc,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210713_225610.mp4,,2021-07-13T17:26:10.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,5860,,688160,true,688160,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNmuXtMuyPjQ2nwbWP-dzJleAzFs3iECQYJoha33bDurnRSiwRkzRjpew
AF1QipORNEBBOo1ELOu4nZdSWwEPlzAysKr7Ri5qzF9U,E4-SzO9KCZPBYDilOVypzzhzWmQ,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210713_225705.mp4,,2021-07-13T17:27:05.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,6614,,4938243,true,4938243,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPaAbK1aaOW7UbVPe5En4eXWpQlq2lSy28zKHGQdIln4moRsDcHzUMX_A
AF1QipPxmlb0BNnhhtV-A5FnMS4nCGK9bleHWcwfc9Z2,fMJaWMb9pzQ7hKIsxXyhP4bvl4M,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20210828_070859.mp4,,2021-08-28T01:39:05.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,4054,,1113551,true,1113551,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMFXE8TWOhgO_U6gKwPGwldVJrvXsRAbUmesymI4FAL7MccD_htOBuZ4g
AF1QipO2grUb-6hw9DTIh5FgverFMCQ3T4Hirg-JVmbP,j_06Z0V_glo8CzZ8MVa6iI5xZ34,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20211114_215624.mp4,,2021-11-14T16:26:28.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,2640,,509768,true,509768,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPCMzPD1NQjN5zQTycUtKHKOPjG1VSnBfstYInne8R4YZCYoIeIhxLkuw
AF1QipMORMkrZO5c-AzQdPQujzyYtLuZsv6bO0CTEhiL,-g-a1ZQ-VUVtPv3BvIdyhcT0e30,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20211126_003251.mp4,,2021-11-25T19:03:00.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,5794,,3546719,true,3546719,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczM24dRaUqvgV_IKRawc6K1N2w2r8vca3-FpRlApubGplzGagJvxvUDFxA
AF1QipPOnZKaM8wXski_mRkzXYa-ActLHI_4ETJbXguK,PY6C-KnzhGJx1IFZyOdQ84TdpHQ,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20211127_111034.mp4,,2021-11-27T05:40:44.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,8953,,3655669,true,3655669,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOly8ThQS5r9PO-mCEqW8a28ubYdAYjJy6ty0ne3tW7iKReynTzbSkeCA
AF1QipPDyClkXK9lrcL7MPpMwzy8ObkiI8PZjcH_7nrB,KdBEFgoq32Cbkk7seCb0NWPoU8o,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20211204_214048.mp4,,2021-12-04T16:10:58.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,8532,,1972638,true,1972638,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMIrwto2tQMzBGlV_63zI5dmvj3vY0p5uFzDQ6RRnC4MLKtLqinQdDkMA
AF1QipPXtZogbHJVP6IrrJSRRvnnL8yhP6lY-k-wbnXd,JBDXFMU4Y4ULyRTiK7KWMcxXO4c,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20211223_171442.mp4,,2021-12-23T11:44:44.000Z,2026-06-20T08:00:03.174Z,19800000,1920,1080,968,,438415,true,438415,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOdiWjfBDU4Lx85pTur7Rc3aDljm_euQoTFzfbCHqHRmd6de0iSG2q3LA
AF1QipPabHcD7jT1X7-N7mybRQxYespz653mOwDGBZ17,_ftKHIeWXIkAWH6WQwIQ1PtGsT4,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,VID_20220327_222239.mp4,,2022-03-27T16:52:38.000Z,2026-06-20T08:00:03.174Z,19800000,1080,1920,2264,,855646,true,855646,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOyrYqq-ceLVZOe6zIY7pJUG21mJ7eF8sG83qPijEFi35nJ6-GhmUEgWQ
AF1QipPlgnjJdOo7kRQyygW5EyIhSfGY0pwSn3G75B5z,s-swASLNsMxyR5ANay1KzOm751Y,AF1QipPRCv407ksw3gTOg5VtRvv_h1sHmg0VnnoyRZvA,0 BIG B,Snapchat-1697623080.mp4,,2022-04-15T09:51:11.000Z,2026-06-20T08:00:03.174Z,19800000,960,1280,9998,,704633,true,704633,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPOsDsb1I5e55JjPXgXe8KCE9AOV4GatmHEEYi4NKz89wIXmfwlDTSZdQ
