mediaKey,dedupKey,sourceAlbumMediaKey,sourceAlbumTitle,fileName,description,takenAt,uploadedAt,timezoneOffsetMs,width,height,durationMs,livePhotoDurationMs,sizeBytes,takesUpSpace,spaceTakenBytes,isOriginalQuality,isArchived,isFavorite,isOwned,hasLocation,locationName,latitude,longitude,thumbnailUrl
AF1QipPgNgl8E-x2rBalJ1LkL55W2a5NJY2X-rTK0YNs,8mAJEe259UwhZvUCoTBWuyBsaZ0,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20210927_115509.jpg,,2021-09-27T06:25:10.636Z,2024-09-13T17:29:56.962Z,19800000,2688,1512,,,697241,true,697241,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPpO_ldZyM0iPc9X7m8CPXDuyyltZ1YRWdEo8BqVMMzRt6WjNSkql01FA
AF1QipOd3jMBZKGmEpFlsAk9dRg3J7Pvd-vltxo8X60k,8KB5IpE8Yp-6f_EoU0jKbF4uOLw,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,Snapchat-1685057993.jpg,,2021-09-30T10:29:28.000Z,2024-09-13T17:29:56.962Z,19800000,1418,2688,,,976415,true,976415,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPXd2M9-NaX6hvdMSnoLNHlmMZKpBSRzS8B10tLucbtP_qtHdLcw6OCHQ
AF1QipNJg0Y5V0hgQz638JK-9KPvQj_lLfozxiJybMwT,rstXQIW0XExXqlnnmSsuzqYmIGY,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211004_153340.jpg,,2021-10-04T10:03:41.602Z,2024-09-13T17:29:56.962Z,19800000,2688,1512,,,640280,true,640280,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczPaBtCh_LJJEXD4h1XZf55PdUVQNHHhqajJsid7-lFIuOzC-PQfEzb1lg
AF1QipMVcF7cdvL131BgSkiUyNfUfprzOLiUE9NXy-tx,xKc7A2nwdouFj8EUYe-E5pe9dLs,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211004_153422.jpg,,2021-10-04T10:04:23.245Z,2024-09-13T17:29:56.962Z,19800000,1512,2688,,,707182,true,707182,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMJHPQ5Abqgy5bmnWvkY1XhtNHk-AZ2cLFR9l3avjXv6kqrGx7sQmCdMQ
AF1QipMj2qfiFU5hS1y50s29qGe7N6ma9kEmEhfmjeCM,FFs55kJSVEyhmpvq8ZoNVe449Bg,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211004_153437.jpg,,2021-10-04T10:04:38.758Z,2024-09-13T17:29:56.962Z,19800000,1512,2688,,,933059,true,933059,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczNJVoJuRcKvyusVSBeA5S7prv19Dpo8M5YlBzO4W15SVrbl5_pX53dJZQ
AF1QipN--c8dHIj7cL3LRYqiL8_J21j9vg5I7BUMjM3c,oGxspd2z6JBt0NAEWZcHCB7W1DA,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211004_153458.jpg,,2021-10-04T10:04:59.751Z,2024-09-13T17:29:56.962Z,19800000,1512,2688,,,779985,true,779985,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMZardHrbAPWEWxDeOOOyT_zIYcuu0Mqt7SRTUQnr_a-Lz9A5jgfjeawg
AF1QipNpryXAJ5BY2bnWomiFJu0AyrB0ZRv51cLj_AdJ,9MMMMv7VFHvK3zAnXxVk0Gy74ak,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211030_135441.jpg,,2021-10-30T08:24:41.991Z,2024-09-13T17:29:56.962Z,19800000,1512,2688,,,953592,true,953592,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczOjF4WDBccAsVXlLJ47j05mXsrN2WZtlOW-f3VlUXF4TUPc1b9NVtF9UA
AF1QipONzIj7-wCXgOHGk9FBJK5y2e778cUTUz4QF_Sl,hAOqY4SremExxg2kMKMWpqSYBhw,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211031_082420.jpg,,2021-10-31T02:54:21.727Z,2024-09-13T17:29:56.962Z,19800000,2688,1512,,,829230,true,829230,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczONoT-dJi6G0_i2Y6bjtM6Q5wAPJtsyR1WoKA9_Ms73pXRZmQp3Qpyzeg
AF1QipNWFjlTEC5TDV8wFrKRbp9reCgDK4I7m-xE4h9_,mROCzd5hDROJoZBnFoLfyBLx5O0,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211031_082426.jpg,,2021-10-31T02:54:27.207Z,2024-09-13T17:29:56.962Z,19800000,2688,1512,,,827733,true,827733,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMA20VGy0Sdip-MjYp9MDe9dUFBxAE9J_DDC_iUOa4bYqldZ-jtSG_oqA
AF1QipM_aRbYcV1pYS1nSpWSvjuPGf-aorGWe56eTJ0c,ntwDBGHE7xx2wjlxYWeFXuGGPAM,AF1QipPvSdG1x3oSEaveLyjQ012BGXWg5KWzf2qazUdb,storage saver,IMG_20211031_082435.jpg,,2021-10-31T02:54:35.892Z,2024-09-13T17:29:56.962Z,19800000,1512,2688,,,946703,true,946703,false,,,,false,,,,https://photos.fife.usercontent.google.com/pw/AP1GczMqLhqNRcH0CuGWylAAK7ZlAqu8eP_2PHD_luepXIwwduWlyaMRZxhMtA
